"Date","Open","High","Low","Close          Close price adjusted for splits.","Adj Close          Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Jan 1, 2021",48.4,53.93,47.18,52.2,52.2,"7,574,920"
"Dec 1, 2020",45.08,49.28,43.92,48.52,48.52,"6,658,228"
"Oct 1, 2020",39.9,41.7,34.92,35.79,35.79,"7,685,767"
"Sep 1, 2020",42.83,43.43,36.13,40.22,40.22,"7,025,110"
"Aug 1, 2020",40.39,43.78,39.58,42.61,42.61,"6,720,832"
"Jul 1, 2020",39.84,42.4,38.54,40.27,40.27,"7,151,922"
"Jun 1, 2020",35.21,41.63,34.27,39.27,39.27,"7,923,564"
"May 1, 2020",19.04,35.77,18.05,35.49,35.49,"6,304,127"
"Apr 1, 2020",20.1,29.13,-40.32,18.84,18.84,"16,824,885"
"Feb 1, 2020",51.01,54.5,43.85,44.76,44.76,"13,979,728"
"Jan 1, 2020",61.6,65.65,50.97,51.56,51.56,"13,141,261"
"Nov 1, 2019",54.15,58.74,54.07,55.17,55.17,"10,112,807"
"Oct 1, 2019",54.28,56.92,50.99,54.18,54.18,"11,751,844"
"Aug 1, 2019",57.85,57.99,50.52,55.1,55.1,"14,650,885"
"Jul 1, 2019",59.27,60.94,54.72,58.58,58.58,"12,395,594"
"Jun 1, 2019",53.42,59.93,50.6,58.47,58.47,"13,290,297"
"May 1, 2019",63.4,63.93,53.05,53.5,53.5,"16,862,619"
"Apr 1, 2019",60.24,66.6,60.13,63.91,63.91,"14,068,153"
"Mar 1, 2019",57.22,60.73,54.52,60.14,60.14,"12,715,337"
"Feb 1, 2019",54.01,57.81,51.23,57.22,57.22,"11,198,402"
"Jan 1, 2019",45.8,55.37,44.35,53.79,53.79,"14,922,969"
"Dec 1, 2018",52.45,54.55,42.36,45.41,45.41,"12,944,224"
"Nov 1, 2018",64.88,65.39,49.41,50.93,50.93,"15,784,511"
"Oct 1, 2018",73.29,76.9,64.81,65.31,65.31,"13,521,457"
"Sep 1, 2018",70.12,73.73,66.86,73.25,73.25,"10,673,802"
"Aug 1, 2018",68.43,70.5,64.43,69.8,69.8,"10,826,163"
"Jun 1, 2018",67.07,74.46,63.59,74.15,74.15,"13,628,570"
"May 1, 2018",68.56,72.83,65.92,67.04,67.04,"15,729,291"
"Mar 1, 2018",61.55,66.55,59.95,64.94,64.94,"13,059,840"
"Feb 1, 2018",64.76,66.3,58.07,61.64,61.64,"12,729,450"
"Jan 1, 2018",60.2,66.66,60.1,64.73,64.73,"13,358,234"
"Dec 1, 2017",57.42,60.51,55.82,60.42,60.42,"9,873,595"
"Nov 1, 2017",54.65,59.05,53.89,57.4,57.4,"13,087,384"
"Sep 1, 2017",47.08,52.86,46.56,51.67,51.67,"12,837,171"
"Aug 1, 2017",50.21,50.43,45.58,47.23,47.23,"17,972,501"
"Jul 1, 2017",46.28,50.41,43.65,50.17,50.17,"15,266,208"
"Jun 1, 2017",48.63,49.17,42.05,46.04,46.04,"16,095,333"
"May 1, 2017",49.17,52,43.76,48.32,48.32,"14,784,124"
"Apr 1, 2017",50.69,53.76,48.2,49.33,49.33,"10,289,042"
"Mar 1, 2017",53.95,54.44,47.01,50.6,50.6,"13,199,894"
"Feb 1, 2017",52.76,54.94,51.22,54.01,54.01,"9,715,204"
"Dec 1, 2016",49.07,54.51,48.98,53.72,53.72,"11,030,474"
"Nov 1, 2016",46.77,49.9,42.2,49.44,49.44,"14,128,000"
"Oct 1, 2016",48.04,51.93,46.63,46.86,46.86,"11,347,381"
"Sep 1, 2016",44.85,48.32,42.55,48.24,48.24,"13,029,632"
"Aug 1, 2016",41.35,48.75,39.19,44.7,44.7,"12,064,000"
"Jul 1, 2016",48.38,49.35,40.57,41.6,41.6,"9,855,331"
"Jun 1, 2016",48.82,51.67,45.83,48.33,48.33,"10,863,962"
"Apr 1, 2016",38.14,46.78,35.24,45.92,45.92,"12,383,923"
"Mar 1, 2016",33.9,41.9,33.37,38.34,38.34,"11,329,978"
"Feb 1, 2016",33.83,34.69,26.05,33.75,33.75,"11,959,964"
"Jan 1, 2016",37.6,38.39,26.19,33.62,33.62,"11,048,634"
"Dec 1, 2015",41.73,42.23,33.98,37.04,37.04,"8,971,442"
"Oct 1, 2015",45.38,50.92,42.58,46.59,46.59,"8,628,176"
"Sep 1, 2015",48.1,48.87,43.21,45.09,45.09,"8,283,967"
"Aug 1, 2015",46.86,49.33,37.75,49.2,49.2,"8,594,213"
"Jul 1, 2015",58.98,58.98,46.68,47.12,47.12,"7,403,886"
"Jun 1, 2015",60.29,61.82,56.83,59.47,59.47,"6,767,902"
"May 1, 2015",59.79,62.58,56.51,60.3,60.3,"6,651,435"
"Apr 1, 2015",47.55,59.85,47.05,59.63,59.63,"7,959,153"
"Jan 1, 2015",53.76,55.11,43.58,48.24,48.24,"7,699,363"
"Dec 1, 2014",66,69.54,52.44,53.27,53.27,"6,919,717"
"Nov 1, 2014",80.59,80.98,65.69,66.15,66.15,"6,055,929"
"Oct 1, 2014",91.36,92.96,79.44,80.54,80.54,"7,448,385"
"Sep 1, 2014",95.81,95.91,90.43,91.16,91.16,"5,762,880"
"Aug 1, 2014",97.7,98.67,92.5,95.96,95.96,"4,773,185"
"Jul 1, 2014",105.44,106.09,97.6,98.17,98.17,"5,346,395"
"May 1, 2014",99.72,104.5,98.74,102.71,102.71,"4,580,697"
"Apr 1, 2014",101.53,104.99,98.86,99.74,99.74,"4,991,696"
"Mar 1, 2014",103,105.22,97.37,101.58,101.58,"4,805,002"
"Feb 1, 2014",97.4,103.8,96.26,102.59,102.59,"4,092,761"
"Jan 1, 2014",98.5,98.97,91.24,97.49,97.49,"4,699,881"
"Nov 1, 2013",96.32,96.65,91.77,92.72,92.72,"4,709,460"
"Oct 1, 2013",102.31,104.38,95.95,96.38,96.38,"5,458,477"
"Aug 1, 2013",105.26,112.24,102.22,107.65,107.65,"5,634,934"
"Jul 1, 2013",96.58,109.32,96.07,105.03,105.03,"5,636,543"
"Jun 1, 2013",91.73,99.01,91.26,96.56,96.56,"5,266,358"
"May 1, 2013",93.08,97.17,90.11,91.97,91.97,"6,126,412"
"Apr 1, 2013",97.36,97.8,85.61,93.46,93.46,"5,632,039"
"Mar 1, 2013",91.76,97.35,89.33,97.23,97.23,"4,226,621"
"Feb 1, 2013",97.42,98.15,91.57,92.05,92.05,"4,427,942"
"Jan 1, 2013",91.78,98.24,91.52,97.49,97.49,"4,573,516"
"Dec 1, 2012",88.85,91.99,85.21,91.82,91.82,"3,789,627"
"Nov 1, 2012",86.1,89.8,84.05,88.91,88.91,"5,396,754"
"Oct 1, 2012",92.15,93.66,84.66,86.24,86.24,"5,491,372"
"Sep 1, 2012",96.38,100.42,88.95,92.19,92.19,"4,549,667"
"Aug 1, 2012",88.03,98.29,86.92,96.47,96.47,"5,267,722"
"Jun 1, 2012",86.44,87.03,77.28,84.96,84.96,"6,321,933"
"May 1, 2012",104.89,106.43,85.86,86.53,86.53,"6,008,992"
"Mar 1, 2012",106.82,110.55,102.13,103.02,103.02,"6,022,417"
"Feb 1, 2012",98.38,109.95,95.44,107.07,107.07,"5,837,415"
"Dec 1, 2011",100.51,102.44,92.52,98.83,98.83,"4,905,263"
"Nov 1, 2011",92.58,103.37,89.17,100.36,100.36,"6,546,619"
"Oct 1, 2011",78.92,94.65,74.95,93.19,93.19,"6,923,687"
"Sep 1, 2011",88.73,90.52,77.11,79.2,79.2,"6,687,717"
"Aug 1, 2011",96.2,98.6,75.71,88.81,88.81,"8,623,260"
"Jul 1, 2011",95.12,100.62,93.45,95.7,95.7,"5,712,768"
"Jun 1, 2011",102.68,103.31,89.61,95.42,95.42,"7,612,897"
"Apr 1, 2011",106.62,114.18,105.31,113.93,113.93,"5,906,063"
"Mar 1, 2011",96.97,106.95,96.22,106.72,106.72,"7,142,807"
"Feb 1, 2011",92.2,103.41,83.85,96.97,96.97,"6,702,855"
"Jan 1, 2011",91.31,92.84,85.11,92.19,92.19,"7,342,599"
