"Date","Open","High","Low","Close          Close price adjusted for splits.","Adj Close          Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Jan 1, 2018","91.77","98.91","91.05","91.56","72.78","2,275,632"
"Dec 18, 2017","2.61 Dividend","2.61 Dividend","2.61 Dividend","2.61 Dividend","2.61 Dividend","2.61 Dividend"
"Dec 1, 2017","85.59","94.14","78.00","90.27","69.51","1,235,033"
"Nov 1, 2017","83.07","87.87","80.61","85.53","65.86","1,028,334"
"Oct 1, 2017","78.42","83.79","78.24","81.36","62.65","1,319,768"
"Sep 1, 2017","71.67","80.19","70.74","77.49","59.67","1,684,433"
"Aug 1, 2017","65.85","70.17","63.15","69.96","53.87","799,230"
"Jul 1, 2017","52.80","66.00","52.59","65.40","50.36","373,966"
"Jun 1, 2017","51.66","52.56","50.19","52.53","40.45","191,666"
"May 1, 2017","51.75","53.34","50.37","51.93","39.99","364,300"
"Apr 1, 2017","54.00","55.05","49.59","51.21","39.43","563,701"
"Mar 1, 2017","58.41","59.01","52.62","53.73","41.37","516,734"
"Feb 1, 2017","56.76","62.91","55.89","58.38","44.95","509,601"
"Jan 1, 2017","51.48","58.11","51.33","57.09","43.96","343,799"
"Dec 19, 2016","1.14 Dividend","1.14 Dividend","1.14 Dividend","1.14 Dividend","1.14 Dividend","1.14 Dividend"
"Dec 1, 2016","53.28","55.26","49.86","51.03","38.43","244,767"
"Nov 1, 2016","48.30","53.82","46.86","52.53","39.56","228,500"
"Oct 1, 2016","48.30","49.02","45.81","48.15","36.26","139,635"
"Sep 1, 2016","50.85","51.69","46.98","48.51","36.54","199,667"
"Aug 1, 2016","51.09","54.30","50.25","50.88","38.32","151,501"
"Jul 1, 2016","49.80","55.17","49.68","51.81","39.02","121,997"
"Jun 1, 2016","49.11","52.77","46.35","49.68","37.42","295,500"
"May 1, 2016","48.84","49.38","45.00","48.87","36.81","149,831"
"Apr 1, 2016","43.92","50.58","42.60","48.36","36.42","137,436"
"Mar 1, 2016","40.02","46.26","39.75","43.89","33.06","277,501"
"Feb 1, 2016","35.19","39.69","33.81","39.42","29.69","159,769"
"Jan 1, 2016","39.90","40.11","33.21","35.34","26.62","65,433"
"Dec 21, 2015","1.92 Dividend","1.92 Dividend","1.92 Dividend","1.92 Dividend","1.92 Dividend","1.92 Dividend"
"Dec 1, 2015","46.41","47.64","36.75","40.23","28.79","92,801"
"Nov 1, 2015","48.30","49.95","45.81","46.14","33.02","68,669"
"Oct 1, 2015","45.45","52.56","44.76","48.18","34.48","121,334"
"Sep 1, 2015","51.30","52.77","44.55","44.64","31.95","73,165"
"Aug 1, 2015","57.84","58.38","46.68","51.90","37.14","171,732"
"Jul 1, 2015","67.35","67.80","56.79","58.23","41.68","80,899"
"Jun 1, 2015","78.63","79.86","66.54","66.81","47.82","66,698"
"May 1, 2015","83.10","84.96","76.77","78.21","55.97","68,899"
"Apr 1, 2015","75.27","83.97","74.43","82.50","59.05","69,200"
"Mar 1, 2015","79.17","79.44","72.00","75.09","53.74","51,801"
"Feb 1, 2015","70.86","80.64","70.50","79.11","56.62","60,133"
"Jan 1, 2015","75.90","76.53","70.02","71.34","51.06","70,468"
"Dec 22, 2014","1.16 Dividend","1.16 Dividend","1.16 Dividend","1.16 Dividend","1.16 Dividend","1.16 Dividend"
"Dec 1, 2014","77.67","78.09","70.02","75.57","53.27","189,635"
"Nov 1, 2014","82.08","82.38","78.36","78.75","55.51","162,898"
"Oct 1, 2014","88.56","90.39","80.52","81.72","57.60","176,465"
"Sep 1, 2014","105.87","108.69","89.07","89.94","63.40","117,766"
"Aug 1, 2014","109.38","111.06","105.00","105.15","74.12","56,198"
"Jul 1, 2014","107.73","113.40","104.43","109.59","77.25","89,867"
"Jun 1, 2014","103.53","107.97","101.97","106.23","74.88","91,566"
"May 1, 2014","111.33","111.33","102.39","103.50","72.95","105,002"
"Apr 1, 2014","106.50","112.86","106.50","109.35","77.08","99,202"
"Mar 1, 2014","107.70","109.86","102.24","106.41","75.00","91,901"
"Feb 1, 2014","104.46","109.71","101.82","108.48","76.46","74,333"
"Jan 1, 2014","107.76","110.01","103.56","104.94","73.97","181,600"
"Dec 23, 2013","0.25 Dividend","0.25 Dividend","0.25 Dividend","0.25 Dividend","0.25 Dividend","0.25 Dividend"
"Dec 1, 2013","111.57","112.65","102.18","107.31","75.46","167,501"
"Nov 1, 2013","119.34","122.34","111.00","112.92","79.40","111,601"
"Oct 1, 2013","124.56","127.98","120.00","120.00","84.38","130,765"
"Sep 1, 2013","120.54","131.61","119.76","125.58","88.30","77,898"
"Aug 1, 2013","119.94","125.64","116.04","117.57","82.67","128,865"
"Jul 1, 2013","1:4 Stock Splits","1:4 Stock Splits","1:4 Stock Splits","1:4 Stock Splits","1:4 Stock Splits","1:4 Stock Splits"
"Jul 1, 2013","114.84","125.46","111.45","117.90","82.90","113,699"
"Jun 1, 2013","131.64","131.76","111.84","113.88","80.08","91,183"
"May 1, 2013","124.56","141.12","122.64","130.68","91.89","240,308"
"Apr 1, 2013","132.12","133.56","119.16","125.88","88.51","193,833"
"Mar 1, 2013","142.20","144.84","131.88","132.36","93.07","101,257"
"Feb 1, 2013","156.00","156.84","142.20","144.96","101.93","102,358"
"Jan 1, 2013","162.60","166.80","154.20","155.28","109.19","134,101"
"Dec 24, 2012","2.72 Dividend","2.72 Dividend","2.72 Dividend","2.72 Dividend","2.72 Dividend","2.72 Dividend"
"Dec 1, 2012","150.84","160.56","140.04","157.92","109.11","120,133"
"Nov 1, 2012","152.04","155.64","141.48","150.48","103.97","162,691"
"Oct 1, 2012","157.68","160.80","150.36","152.76","105.54","138,041"
"Sep 1, 2012","147.84","173.04","145.32","156.12","107.87","203,723"
"Aug 1, 2012","155.64","156.72","146.16","148.08","102.31","126,243"
"Jul 1, 2012","163.68","168.00","146.16","153.24","105.88","141,143"
